"","age","75%","80%","90%","95%","97.5%","99%","99.5%"
"3",87,5.12226471552572,5.36053976162411,5.98773709161061,6.50568747223507,6.95493218342577,7.47727624689388,7.8329554876668
"151",88,5.08947774990084,5.32661616596411,5.95082161184492,6.46630124293452,6.91340294737644,7.43325530237182,7.78723786649082
"272",89,5.05567540968011,5.29163499662547,5.91273748024746,6.42565463154613,6.87053376692223,7.38780190505704,7.74002480087453
"109",90,5.02100406001449,5.25574704729968,5.87364714749538,6.38391971528699,6.82650506886798,7.34110618995457,7.69151303641842
"158",91,4.98560116477353,5.21909399279539,5.8337033726036,6.34125840670089,6.78148670507866,7.29334724010604,7.64188794194035
"1417",92,4.94960139931441,5.18181471940883,5.79305612607456,6.29782982981906,6.73564573890665,7.2447013500404,7.59133209774547
"30",93,4.91313631927323,5.14404498715587,5.75185223486459,6.25378995086828,6.68914606353285,7.19534162973587,7.54002488979689
"1028",94,4.87633273142816,5.10591574571131,5.71023355375062,6.20928963024706,6.64214635038945,7.1454358326393,7.48814025574903
"12423",95,4.83931343346992,5.06755390204213,5.66833780630482,6.16447552406679,6.59480100323348,7.09514737082015,7.43584774169281
"3927",96,4.80219810030484,5.02908323998875,5.62629959207204,6.11949116366778,6.54726130040576,7.04463653018154,7.38331376704212
"10960",97,4.76510216101756,4.99062325672832,5.5842491164292,6.0744755974431,6.49967396029709,6.99405894714418,7.3307000407632
"596",98,4.7281045227727,4.95225568595473,5.54227555317608,6.02952414336041,6.45213963002445,6.94352146511286,7.27811762549312
"11544",100,4.65455434721193,4.87595345739636,5.45872925806381,5.93999557305423,6.35742232814806,6.84277114144429,7.17325924209786
