"","age","75%","80%","90%","95%","97.5%","99%","99.5%"
"121",85,4.61981778306838,4.83990365566978,5.4192226986146,5.8976343634135,6.31258513519153,6.795055082796,7.12358288020283
"256",86,4.58964122773484,4.80857911938834,5.38487639989017,5.86079264110757,6.27357900508109,6.75353236086056,7.08034653781632
"36",87,4.55964234311422,4.77743236201321,5.35070816486316,5.82412921768447,6.23475137784177,6.71218837897668,7.03728909698444
"17",88,4.529640104864,4.74627541991595,5.31651176403259,5.78742277937041,6.19586785634266,6.6707735277834,6.99415058989701
"47",89,4.49942633596229,4.7148919593829,5.28204939330689,5.75041779146517,6.15665752722477,6.6289990129074,6.95063004647884
"160",90,4.4687915574119,4.68306409965691,5.24708105647241,5.71285599442939,6.1168462902374,6.58657231584766,6.90642240670745
"298",91,4.43753152754306,4.65057919730842,5.21137199464357,5.67448436605218,6.07616528245863,6.54320615543237,6.8612278478898
"1859",92,4.40545793448615,4.6172409538163,5.1747048865082,5.6350682240377,6.03436476352839,6.49863328304754,6.81476719953346
"194",93,4.37255422925991,4.58303145613082,5.13705822845967,5.59458309963545,5.99141769287606,6.45282366782592,6.76700839459132
"1976",94,4.33893774324097,4.54807198855894,5.09856370986998,5.55316927489974,5.94747180542642,6.40593371026481,6.71811373420067
"453",95,4.3047271287052,4.51248530634493,5.05935488598481,5.51096922390381,5.9026773110055,6.35812261467466,6.66824854727758
"5559",96,4.27003839845083,4.47639152515876,5.01956267222107,5.468122780682,5.8571817792182,6.3095469449329,6.6175755221608
"5361",97,4.2349813082645,4.4399043600587,4.97931120539382,5.424762688516,5.81112541817251,6.26035558862129,6.56624945653785
"9468",104,3.98668529919179,4.18117722764277,4.69312684312206,5.11590367191334,5.4825995204992,5.90896269147466,6.19928575543219
